bairro,perfil,segmento,n_inventario,n_airbnb_precificados,pct_inventario_precificado,pares_listing_data,mediana_cobertura,n_datas,n_meses,diaria_anunciada_ajustada,n_viva_bruto,n_viva_elegiveis,mediana_preco_aquisicao,p25_preco,p75_preco,mediana_pm2,mediana_area,cobertura_condo,cobertura_iptu,eligible_for_ranking,motivo_inelegivel,receita_60,rendimento_60,payback_60,receita_50,rendimento_50,payback_50,receita_75,rendimento_75,payback_75,potencial_bruto_105dias_100pct,ci_rend60_025,ci_rend60_975,bootstrap_reps_requested,bootstrap_reps_valid,ci_insuficiente,maior_proprietario_share,iqr_preco_aquisicao,top3_primary,top3_outlier_sensitivity,top3_price_p25,top3_price_median,top3_price_p75,shortlist_candidate,shortlist_selected,shortlist_order,shortlist_reason
centro,2. apartamento (2q),centro | 2. apartamento (2q),183,65,35.51912568306011,4258,0.6666666666666666,105,4,711.2257918631248,89,87,1150000.0,873500.0,1533030.0,13068.181818181818,86.0,0.8160919540229885,0.8390804597701149,True,,155758.44841802432,0.13544212905915157,7.383227116603213,129798.70701502026,0.11286844088262632,8.859872539923856,194698.0605225304,0.16930266132393948,5.90658169328257,74678.7081456281,0.10977220225184849,0.1577981055522694,1000,1000,False,0.3076923076923077,659530.0,True,True,True,True,True,True,True,3.0,"rend60=13.54%; ICinf=10.98%; N_air=65; N_viva=87; cobertura=0.67; concentração(maior owner)=31%; top3 em: principal@60,outliers,P25,mediana,P75"
centro,3. apartamento (3q+),centro | 3. apartamento (3q+),247,50,20.242914979757085,2823,0.5904761904761905,103,4,822.482631139593,871,808,2696500.0,1958750.0,3796200.0,16792.530149159,150.0,0.676980198019802,0.6398514851485149,True,,180123.69621957085,0.06679907147026547,14.970267969145857,150103.0801829757,0.0556658928918879,17.964321562975027,225154.62027446355,0.08349883933783184,11.976214375316685,86360.67626965726,0.05959991387766067,0.07552039769018393,1000,1000,False,0.08,1837450.0,False,False,False,False,False,False,False,,
centro,4. casa,centro | 4. casa,62,9,14.516129032258064,447,0.419047619047619,105,4,1109.01077853598,17,7,1000000.0,599500.0,1289915.0,7679.48717948718,120.0,0.8571428571428571,0.8571428571428571,False,airbnb<20; vivareal<30,242873.3604993796,0.2428733604993796,4.117372106779716,202394.46708281635,0.20239446708281636,4.940846528135658,303591.7006242245,0.30359170062422447,3.2938976854237727,116446.13174627791,,,1000,0,True,0.1111111111111111,690415.0,False,False,False,False,False,False,False,,
centro,5. hotel/outros,centro | 5. hotel/outros,47,3,6.382978723404255,169,0.5619047619047619,89,4,207.46592741935484,0,0,,,,,,,,False,airbnb<20; vivareal<30; preco_inv,45435.038104838706,,,37862.53175403226,,,56793.79763104839,,,21783.922379032258,,,1000,0,True,0.3333333333333333,,False,False,False,False,False,False,False,,
ilhota,1. apartamento compacto (0-1q),ilhota | 1. apartamento compacto (0-1q),7,2,28.571428571428573,167,0.7952380952380953,87,4,339.4116071428571,5,5,220000.0,202658.0,255000.0,5333.105263157895,38.0,0.6,0.4,False,airbnb<20; vivareal<30,74331.1419642857,0.33786882711038957,2.9597285092929773,61942.61830357143,0.28155735592532466,3.5516742111515724,92913.92745535714,0.422336033887987,2.3677828074343816,35638.21875,,,1000,0,True,1.0,52342.0,False,False,False,False,False,False,False,,
ilhota,2. apartamento (2q),ilhota | 2. apartamento (2q),8,2,25.0,142,0.6761904761904762,87,4,567.230616359447,0,0,,,,,,,,False,airbnb<20; vivareal<30; preco_inv,124223.50498271889,,,103519.58748559908,,,155279.38122839862,,,59559.21471774194,,,1000,0,True,0.5,,False,False,False,False,False,False,False,,
ilhota,3. apartamento (3q+),ilhota | 3. apartamento (3q+),7,1,14.285714285714286,64,0.6095238095238096,64,4,597.8306451612904,23,23,2845125.0,2454062.5,3903189.0,18355.64516129032,154.0,0.6956521739130435,0.4782608695652174,False,airbnb<20; vivareal<30,130924.91129032258,0.046017279131961714,21.73096755964959,109104.09274193548,0.0383477326099681,26.077161071579503,163656.1391129032,0.05752159891495214,17.38477404771967,62772.217741935485,,,1000,0,True,1.0,1449126.5,False,False,False,False,False,False,False,,
ilhota,4. casa,ilhota | 4. casa,23,5,21.73913043478261,275,0.5047619047619047,96,4,639.4598598241394,22,4,9500000.0,1625000.0,17750225.0,7628.378378378378,992.5,1.0,0.75,False,airbnb<20; vivareal<30,140041.70930148652,0.014741232558051213,67.83693263517713,116701.42441790544,0.012284360465042677,81.40431916221256,175052.13662685815,0.018426540697564015,54.26954610814171,67143.28528153463,,,1000,0,True,0.2,16125225.0,False,False,False,False,False,False,False,,
ilhota,5. hotel/outros,ilhota | 5. hotel/outros,11,0,0.0,0,,0,0,,0,0,,,,,,,,False,airbnb<20; vivareal<30; meses<4; diaria_inv; preco_inv,,,,,,,,,,,,,1000,0,True,,,False,False,False,False,False,False,False,,
jardim praiamar,1. apartamento compacto (0-1q),jardim praiamar | 1. apartamento compacto (0-1q),1,0,0.0,0,,0,0,,0,0,,,,,,,,False,airbnb<20; vivareal<30; meses<4; diaria_inv; preco_inv,,,,,,,,,,,,,1000,0,True,,,False,False,False,False,False,False,False,,
jardim praiamar,2. apartamento (2q),jardim praiamar | 2. apartamento (2q),3,0,0.0,0,,0,0,,0,0,,,,,,,,False,airbnb<20; vivareal<30; meses<4; diaria_inv; preco_inv,,,,,,,,,,,,,1000,0,True,,,False,False,False,False,False,False,False,,
jardim praiamar,4. casa,jardim praiamar | 4. casa,1,1,100.0,60,0.5714285714285714,60,4,193.03846153846155,0,0,,,,,,,,False,airbnb<20; vivareal<30; preco_inv,42275.42307692308,,,35229.519230769234,,,52844.27884615385,,,20269.03846153846,,,1000,0,True,1.0,,False,False,False,False,False,False,False,,
lameiro,5. hotel/outros,lameiro | 5. hotel/outros,1,0,0.0,0,,0,0,,0,0,,,,,,,,False,airbnb<20; vivareal<30; meses<4; diaria_inv; preco_inv,,,,,,,,,,,,,1000,0,True,,,False,False,False,False,False,False,False,,
leopoldo zarling,1. apartamento compacto (0-1q),leopoldo zarling | 1. apartamento compacto (0-1q),1,0,0.0,0,,0,0,,0,0,,,,,,,,False,airbnb<20; vivareal<30; meses<4; diaria_inv; preco_inv,,,,,,,,,,,,,1000,0,True,,,False,False,False,False,False,False,False,,
leopoldo zarling,2. apartamento (2q),leopoldo zarling | 2. apartamento (2q),7,0,0.0,0,,0,0,,0,0,,,,,,,,False,airbnb<20; vivareal<30; meses<4; diaria_inv; preco_inv,,,,,,,,,,,,,1000,0,True,,,False,False,False,False,False,False,False,,
leopoldo zarling,4. casa,leopoldo zarling | 4. casa,9,1,11.11111111111111,70,0.6666666666666666,70,4,210.3816052764977,0,0,,,,,,,,False,airbnb<20; vivareal<30; preco_inv,46073.571555553,,,38394.64296296083,,,57591.96444444125,,,22090.06855403226,,,1000,0,True,1.0,,False,False,False,False,False,False,False,,
leopoldo zarling,5. hotel/outros,leopoldo zarling | 5. hotel/outros,1,0,0.0,0,,0,0,,0,0,,,,,,,,False,airbnb<20; vivareal<30; meses<4; diaria_inv; preco_inv,,,,,,,,,,,,,1000,0,True,,,False,False,False,False,False,False,False,,
meia praia,1. apartamento compacto (0-1q),meia praia | 1. apartamento compacto (0-1q),110,28,25.454545454545453,1780,0.6190476190476191,103,4,534.7426506758833,58,55,875000.0,753000.0,1002503.5,21250.0,40.0,0.6727272727272727,0.6,True,,117108.64049801843,0.13383844628344962,7.471694627133902,97590.5337483487,0.11153203856954136,8.966033552560683,146385.80062252303,0.16729805785431204,5.977355701707122,56147.97832096775,0.11264674674300897,0.1435296278435518,1000,1000,False,0.10714285714285714,249503.5,True,True,True,True,True,True,True,2.0,"rend60=13.38%; ICinf=11.26%; N_air=28; N_viva=55; cobertura=0.62; concentração(maior owner)=11%; top3 em: principal@60,outliers,P25,mediana,P75"
meia praia,2. apartamento (2q),meia praia | 2. apartamento (2q),723,187,25.86445366528354,10061,0.5333333333333333,105,4,533.0085947425559,243,241,1070000.0,906700.0,1290000.0,12826.08695652174,85.0,0.7344398340248963,0.6929460580912863,True,,116728.88224861975,0.10909241331646705,9.166540271678581,97274.06854051645,0.09091034443038921,10.999848326014298,145911.1028107747,0.13636551664558383,7.333232217342864,55965.90244796837,0.10131201063020259,0.11821817747397499,1000,1000,False,0.0374331550802139,383300.0,False,False,False,False,False,False,False,,
meia praia,3. apartamento (3q+),meia praia | 3. apartamento (3q+),1769,392,22.159412097230074,22547,0.5761904761904761,105,4,789.9823648313984,3100,2835,2380000.0,1744595.0,3484000.0,15764.637931034482,148.0,0.6955908289241622,0.6483245149911817,True,,173006.13789807624,0.07269165457902363,13.756737355770223,144171.7815817302,0.060576378815853024,16.508084826924268,216257.6723725953,0.09086456822377953,11.005389884616179,82948.14830729683,0.06919956855902398,0.07716077932562171,1000,1000,False,0.03316326530612245,1739405.0,False,False,False,False,False,False,False,,
meia praia,4. casa,meia praia | 4. casa,90,12,13.333333333333334,502,0.4380952380952381,92,4,605.9996211449841,19,8,1433258.5,1197500.0,1642500.0,9152.148664343786,191.0,0.75,0.75,False,airbnb<20; vivareal<30,132713.9170307515,0.09259593927456318,10.799609657123568,110594.93085895959,0.07716328272880264,12.959531588548282,165892.3962884394,0.11574492409320399,8.639687725698854,63629.96022022333,,,1000,0,True,0.08333333333333333,445000.0,False,False,False,False,False,False,False,,
meia praia,5. hotel/outros,meia praia | 5. hotel/outros,168,13,7.738095238095238,747,0.5238095238095238,102,4,204.49667276096977,0,0,,,,,,,,False,airbnb<20; vivareal<30; preco_inv,44784.77133465238,,,37320.64277887699,,,55980.96416831548,,,21472.150639901825,,,1000,0,True,0.15384615384615385,,False,False,False,False,False,False,False,,
morretes,1. apartamento compacto (0-1q),morretes | 1. apartamento compacto (0-1q),17,4,23.529411764705884,146,0.2809523809523809,88,4,440.03270264681555,50,48,600000.0,434100.0,750000.0,12743.210361237292,43.5,0.5,0.625,False,airbnb<20,96367.1618796526,0.16061193646608768,6.226187305892701,80305.96823304384,0.1338432803884064,7.471424767071241,120458.95234956575,0.20076492058260959,4.980949844714161,46203.433777915634,,,1000,0,True,0.25,315900.0,False,False,False,False,False,False,False,,
morretes,2. apartamento (2q),morretes | 2. apartamento (2q),229,51,22.270742358078603,2970,0.5904761904761905,105,4,501.9688205778093,1037,1019,789550.0,680000.0,874647.5,11542.857142857143,69.0,0.7065750736015701,0.7232580961727183,True,,109931.17170654023,0.13923269166808971,7.182221273031574,91609.3097554502,0.11602724305674143,8.618665527637889,137413.9646331753,0.17404086458511214,5.74577701842526,52706.726160669976,0.12873541719720233,0.1509979834563847,1000,1000,False,0.13725490196078433,194647.5,True,True,True,True,True,True,True,1.0,"rend60=13.92%; ICinf=12.87%; N_air=51; N_viva=1019; cobertura=0.59; concentração(maior owner)=14%; top3 em: principal@60,outliers,P25,mediana,P75"
morretes,3. apartamento (3q+),morretes | 3. apartamento (3q+),72,13,18.055555555555557,683,0.5619047619047619,101,4,918.5470924526079,213,149,840000.0,700000.0,998000.0,11409.42857142857,70.0,0.697986577181208,0.7315436241610739,False,airbnb<20,201161.8132471211,0.2394783491037156,4.175742833298513,167634.84437260093,0.19956529091976302,5.010891399958217,251452.2665589014,0.2993479363796445,3.340594266638811,96447.44470752383,,,1000,0,True,0.07692307692307693,298000.0,False,False,False,False,False,False,False,,
morretes,4. casa,morretes | 4. casa,99,14,14.141414141414142,810,0.5761904761904761,105,4,448.0233471487504,367,356,649750.0,550000.0,752250.75,7125.0,92.5,0.7415730337078652,0.9157303370786517,False,airbnb<20,98117.11302557634,0.15100748445644685,6.622188321324015,81764.26085464696,0.12583957038037238,7.946625985588817,122646.39128197043,0.18875935557055856,5.297750657059211,47042.45145061879,,,1000,0,True,0.14285714285714285,202250.75,False,False,False,False,False,False,False,,
morretes,5. hotel/outros,morretes | 5. hotel/outros,24,1,4.166666666666667,58,0.5523809523809524,58,3,,0,0,,,,,,,,False,airbnb<20; vivareal<30; meses<4; diaria_inv; preco_inv,,,,,,,,,,,,,1000,0,True,1.0,,False,False,False,False,False,False,False,,
não informado,4. casa,não informado | 4. casa,5,3,60.0,181,0.4952380952380952,89,4,692.4120343701996,7,0,,,,,,,,False,airbnb<20; vivareal<30; preco_inv,151638.23552707373,,,126365.19627256144,,,189547.79440884216,,,72703.26360887097,,,1000,0,True,0.3333333333333333,,False,False,False,False,False,False,False,,
sertao do trombudo,4. casa,sertao do trombudo | 4. casa,21,3,14.285714285714286,200,0.7142857142857143,89,4,464.71979879439556,8,0,,,,,,,,False,airbnb<20; vivareal<30; preco_inv,101773.63593597262,,,84811.36327997719,,,127217.04491996579,,,48795.578873411534,,,1000,0,True,0.6666666666666666,,False,False,False,False,False,False,False,,
sertao do trombudo,5. hotel/outros,sertao do trombudo | 5. hotel/outros,1,0,0.0,0,,0,0,,0,0,,,,,,,,False,airbnb<20; vivareal<30; meses<4; diaria_inv; preco_inv,,,,,,,,,,,,,1000,0,True,,,False,False,False,False,False,False,False,,
sertaozinho,2. apartamento (2q),sertaozinho | 2. apartamento (2q),1,0,0.0,0,,0,0,,1,0,,,,,,,,False,airbnb<20; vivareal<30; meses<4; diaria_inv; preco_inv,,,,,,,,,,,,,1000,0,True,,,False,False,False,False,False,False,False,,
sertaozinho,3. apartamento (3q+),sertaozinho | 3. apartamento (3q+),1,0,0.0,0,,0,0,,0,0,,,,,,,,False,airbnb<20; vivareal<30; meses<4; diaria_inv; preco_inv,,,,,,,,,,,,,1000,0,True,,,False,False,False,False,False,False,False,,
sertaozinho,4. casa,sertaozinho | 4. casa,14,6,42.857142857142854,496,0.8095238095238095,104,4,815.6639170506912,0,0,,,,,,,,False,airbnb<20; vivareal<30; preco_inv,178630.39783410137,,,148858.66486175114,,,223287.9972926267,,,85644.71129032258,,,1000,0,True,0.16666666666666666,,False,False,False,False,False,False,False,,
sertaozinho,5. hotel/outros,sertaozinho | 5. hotel/outros,5,0,0.0,0,,0,0,,0,0,,,,,,,,False,airbnb<20; vivareal<30; meses<4; diaria_inv; preco_inv,,,,,,,,,,,,,1000,0,True,,,False,False,False,False,False,False,False,,
tabuleiro dos oliveiras,1. apartamento compacto (0-1q),tabuleiro dos oliveiras | 1. apartamento compacto (0-1q),5,0,0.0,0,,0,0,,1,1,820000.0,820000.0,820000.0,12058.823529411764,68.0,0.0,0.0,False,airbnb<20; vivareal<30; meses<4; diaria_inv,,,,,,,,,,,,,1000,0,True,,0.0,False,False,False,False,False,False,False,,
tabuleiro dos oliveiras,2. apartamento (2q),tabuleiro dos oliveiras | 2. apartamento (2q),74,12,16.216216216216218,738,0.5809523809523809,101,4,550.3864343317972,105,101,780939.0,695000.0,848000.0,11575.797101449276,69.0,0.7029702970297029,0.6534653465346535,False,airbnb<20,120534.62911866358,0.15434576723491025,6.478959662547959,100445.52426555299,0.12862147269575855,7.774751595057551,150668.28639832948,0.19293220904363784,5.183167730038367,57790.575604838705,,,1000,0,True,0.16666666666666666,153000.0,False,False,False,False,False,False,False,,
tabuleiro dos oliveiras,3. apartamento (3q+),tabuleiro dos oliveiras | 3. apartamento (3q+),20,5,25.0,348,0.7714285714285715,97,4,747.6574076740911,15,12,800000.0,763750.0,901040.0,11428.571428571428,70.0,0.5833333333333334,0.6666666666666666,False,airbnb<20; vivareal<30,163736.97228062595,0.20467121535078245,4.885884897327244,136447.47690052164,0.17055934612565204,5.863061876792693,204671.21535078244,0.25583901918847807,3.9087079178617956,78504.02780577957,,,1000,0,True,0.2,137290.0,False,False,False,False,False,False,False,,
tabuleiro dos oliveiras,4. casa,tabuleiro dos oliveiras | 4. casa,24,2,8.333333333333334,146,0.6952380952380952,97,4,1617.832258064516,5,0,,,,,,,,False,airbnb<20; vivareal<30; preco_inv,354305.264516129,,,295254.3870967742,,,442881.5806451613,,,169872.38709677418,,,1000,0,True,0.5,,False,False,False,False,False,False,False,,
tabuleiro dos oliveiras,5. hotel/outros,tabuleiro dos oliveiras | 5. hotel/outros,6,1,16.666666666666668,8,0.0761904761904762,8,1,,0,0,,,,,,,,False,airbnb<20; vivareal<30; meses<4; diaria_inv; preco_inv,,,,,,,,,,,,,1000,0,True,1.0,,False,False,False,False,False,False,False,,
varzea,1. apartamento compacto (0-1q),varzea | 1. apartamento compacto (0-1q),1,0,0.0,0,,0,0,,0,0,,,,,,,,False,airbnb<20; vivareal<30; meses<4; diaria_inv; preco_inv,,,,,,,,,,,,,1000,0,True,,,False,False,False,False,False,False,False,,
varzea,2. apartamento (2q),varzea | 2. apartamento (2q),3,0,0.0,0,,0,0,,29,28,644900.0,617500.0,680022.0,9371.428571428572,70.0,0.4642857142857143,0.6071428571428571,False,airbnb<20; vivareal<30; meses<4; diaria_inv,,,,,,,,,,,,,1000,0,True,,62522.0,False,False,False,False,False,False,False,,
varzea,3. apartamento (3q+),varzea | 3. apartamento (3q+),2,0,0.0,0,,0,0,,3,2,741500.0,714750.0,768250.0,9883.035714285714,75.0,1.0,0.5,False,airbnb<20; vivareal<30; meses<4; diaria_inv,,,,,,,,,,,,,1000,0,True,,53500.0,False,False,False,False,False,False,False,,
varzea,4. casa,varzea | 4. casa,31,5,16.129032258064516,212,0.3333333333333333,102,4,1021.6986007104455,4,0,,,,,,,,False,airbnb<20; vivareal<30; preco_inv,223751.99355558754,,,186459.99462965628,,,279689.9919444844,,,107278.35307459677,,,1000,0,True,0.2,,False,False,False,False,False,False,False,,
varzea,5. hotel/outros,varzea | 5. hotel/outros,6,0,0.0,0,,0,0,,0,0,,,,,,,,False,airbnb<20; vivareal<30; meses<4; diaria_inv; preco_inv,,,,,,,,,,,,,1000,0,True,,,False,False,False,False,False,False,False,,
