airbnb_listing_id,n_dates,coverage
46048941,34,0.3238095238095238
46072703,45,0.42857142857142855
46088002,58,0.5523809523809524
46116173,31,0.29523809523809524
46220279,80,0.7619047619047619
46222390,73,0.6952380952380952
46298558,54,0.5142857142857142
46327705,40,0.38095238095238093
46372862,74,0.7047619047619048
46451253,71,0.6761904761904762
46530405,83,0.7904761904761904
46550767,47,0.44761904761904764
46598066,85,0.8095238095238095
46604700,87,0.8285714285714286
46678933,97,0.9238095238095239
46690986,91,0.8666666666666667
46704215,11,0.10476190476190476
46710652,71,0.6761904761904762
46724379,100,0.9523809523809523
46755580,58,0.5523809523809524
46769078,93,0.8857142857142857
46866680,67,0.638095238095238
46878566,81,0.7714285714285715
46896012,65,0.6190476190476191
46936020,54,0.5142857142857142
46990438,60,0.5714285714285714
47000276,42,0.4
47006355,49,0.4666666666666667
47052262,69,0.6571428571428571
47089646,51,0.4857142857142857
47172145,74,0.7047619047619048
47213093,22,0.20952380952380953
47222306,47,0.44761904761904764
47232230,16,0.1523809523809524
47254288,72,0.6857142857142857
47260862,44,0.41904761904761906
47269826,12,0.11428571428571428
47325492,89,0.8476190476190476
47326216,87,0.8285714285714286
47402735,66,0.6285714285714286
47421617,36,0.34285714285714286
47543180,38,0.3619047619047619
47558531,90,0.8571428571428571
47783121,52,0.49523809523809526
47802450,29,0.2761904761904762
47816646,73,0.6952380952380952
47891397,81,0.7714285714285715
47909482,67,0.638095238095238
48080102,45,0.42857142857142855
48109229,73,0.6952380952380952
48158176,33,0.3142857142857143
48243472,60,0.5714285714285714
48254075,20,0.19047619047619047
48526011,65,0.6190476190476191
48624860,18,0.17142857142857143
48699117,48,0.45714285714285713
48848529,87,0.8285714285714286
48941838,46,0.4380952380952381
49050392,46,0.4380952380952381
49123621,90,0.8571428571428571
49369605,21,0.2
49824103,47,0.44761904761904764
49968308,26,0.24761904761904763
50047341,36,0.34285714285714286
50059423,40,0.38095238095238093
50085393,21,0.2
50243281,35,0.3333333333333333
50535771,44,0.41904761904761906
50561328,13,0.12380952380952381
50958684,74,0.7047619047619048
51301217,67,0.638095238095238
51403736,55,0.5238095238095238
51405106,74,0.7047619047619048
51453135,91,0.8666666666666667
51507847,16,0.1523809523809524
51669111,92,0.8761904761904762
51683537,28,0.26666666666666666
51785337,56,0.5333333333333333
51825638,74,0.7047619047619048
51861410,18,0.17142857142857143
51866473,45,0.42857142857142855
51983017,29,0.2761904761904762
51990592,60,0.5714285714285714
52025452,52,0.49523809523809526
52059007,105,1.0
52172003,42,0.4
52214716,79,0.7523809523809524
